iter	Passed	Remaining
608	3519	25379
609	3525	25372
610	3528	25345
611	3530	25315
612	3532	25280
613	3535	25253
614	3539	25235
615	3541	25203
616	3543	25170
617	3545	25136
618	3547	25105
619	3549	25073
620	3552	25048
621	3556	25034
622	3560	25012
623	3565	25004
624	3571	24998
625	3577	24993
626	3579	24962
627	3581	24931
628	3585	24915
629	3590	24904
630	3593	24882
631	3597	24860
632	3601	24849
633	3607	24845
634	3612	24828
635	3624	24871
636	3628	24853
637	3632	24836
638	3640	24846
639	3644	24826
640	3648	24813
641	3655	24817
642	3659	24799
643	3665	24796
644	4016	27117
645	4159	28037
646	4172	28074
647	4178	28064
648	4186	28069
649	4192	28060
650	4198	28047
651	4204	28041
652	4211	28032
653	4219	28040
654	4224	28024
655	4229	28009
656	4235	27998
657	4240	27979
658	4244	27958
659	4254	27978
660	4261	27972
661	4270	27981
662	4275	27969
663	4283	27972
664	4290	27968
665	4294	27948
666	4303	27959
667	4309	27944
668	4316	27945
669	4324	27945
670	4328	27924
671	4334	27914
672	4339	27897
673	4343	27878
674	4348	27865
675	4354	27851
676	4359	27836
677	4367	27839
678	4370	27815
679	4373	27783
680	4374	27746
681	4377	27714
682	4384	27710
683	4389	27694
684	4392	27670
685	4399	27663
686	4402	27638
687	4405	27612
688	4413	27614
689	4418	27598
690	4422	27576
691	4425	27550
692	4431	27540
693	4433	27506
694	4435	27473
695	4437	27440
696	4439	27407
697	4442	27379
698	4446	27359
699	4448	27327
700	4450	27294
701	4452	27259
702	4456	27238
703	4462	27231
704	4466	27207
705	4469	27182
706	4471	27148
707	4472	27114
708	4478	27104
709	4483	27088
710	4485	27055
711	4486	27020
712	4488	26986
713	4491	26963
714	4494	26937
715	4496	26905
716	4498	26871
717	4500	26838
718	4503	26815
719	4508	26799
720	4512	26778
721	4515	26754
722	4517	26723
723	4519	26690
724	4521	26662
725	4525	26644
726	4527	26613
727	4529	26581
728	4531	26548
729	4532	26514
730	4534	26483
731	4537	26457
732	4542	26441
733	4544	26410
734	4545	26378
735	4547	26346
736	4550	26319
